node,degree,wdegree,pagerank,is_oncokb,betweenness,closeness,clustering,degree_rank,wdegree_rank,pagerank_rank,betweenness_rank,closeness_rank,clustering_rank,is_cosmic,is_tcga
NOC2L,25,21.545,0.0002443429014184908,False,0.0,0.0,0.03666666666666667,126.0,153.0,376.0,1.0,1.0,1608.0,False,False
POLR2A,25,22.477,0.00036112644682320184,False,0.0,0.0,0.03333333333333333,126.0,128.0,104.0,1.0,1.0,1748.0,False,False
PDCD11,25,23.14,0.00024250737349926484,True,0.0,0.0,0.06333333333333334,126.0,114.0,388.0,1.0,1.0,1173.0,False,False
RPL13A,25,22.293,0.00023146563354989127,False,0.0,0.0,0.043333333333333335,126.0,131.0,454.0,1.0,1.0,1541.0,False,False
RPS12,24,21.643,0.00023167086592704985,False,0.0,0.0,0.018115942028985508,145.0,148.0,453.0,1.0,1.0,2072.0,False,False
RPL10A,24,21.462,0.00021208257569134566,False,0.0,0.0,0.050724637681159424,145.0,155.0,599.0,1.0,1.0,1319.0,False,False
ESR1,24,20.141,0.00037254916445281813,True,0.0,0.0,0.014492753623188406,145.0,176.0,91.0,1.0,1.0,2134.0,False,False
RPS14,24,22.405,0.00021949778429610387,False,0.0,0.0,0.07971014492753623,145.0,129.0,536.0,1.0,1.0,906.0,False,False
MRPS10,24,21.808,0.00021932741254207608,False,0.0,0.0,0.057971014492753624,145.0,141.0,537.0,1.0,1.0,1211.0,False,False
GAPDH,24,20.502,0.00038641263222659897,False,0.0,0.0,0.018115942028985508,145.0,168.0,79.0,1.0,1.0,2072.0,False,False
RPL31,24,21.987,0.0002272869884366226,False,0.0,0.0,0.025362318840579712,145.0,137.0,484.0,1.0,1.0,1933.0,False,False
RPS15,24,21.755,0.00022421362329916016,True,0.0,0.0,0.010869565217391304,145.0,145.0,500.0,1.0,1.0,2187.0,False,False
RPS15A,24,21.77,0.00023038799695642676,False,0.0,0.0,0.028985507246376812,145.0,143.0,464.0,1.0,1.0,1812.0,False,False
RACK1,24,22.061,0.00025409646895095076,False,0.0,0.0,0.03260869565217391,145.0,135.0,330.0,1.0,1.0,1774.0,False,False
MTREX,24,20.608999999999998,0.00023453922923619364,False,0.0,0.0,0.050724637681159424,145.0,166.0,430.0,1.0,1.0,1319.0,False,False
MTOR,24,19.989,0.0004019242964951211,True,0.0,0.0,0.0036231884057971015,145.0,180.0,70.0,1.0,1.0,2263.0,False,False
H4C5,24,21.059,0.0003113712149890736,False,0.0,0.0,0.028985507246376812,145.0,160.0,168.0,1.0,1.0,1812.0,False,False
H2AZ1,24,20.728,0.0003321984054519334,False,0.0,0.0,0.021739130434782608,145.0,164.0,139.0,1.0,1.0,2009.0,False,False
ITGB1,24,21.333,0.00045824647025412773,False,0.0,0.0,0.0036231884057971015,145.0,158.0,51.0,1.0,1.0,2263.0,False,False
CDC20,24,21.635,0.0003754953710266426,False,0.0,0.0,0.025362318840579712,145.0,149.0,88.0,1.0,1.0,1933.0,False,False
GTPBP4,24,21.49,0.0002332308214193878,False,0.0,0.0,0.043478260869565216,145.0,154.0,435.0,1.0,1.0,1540.0,False,False
UTP6,23,20.587,0.0002372040111117263,False,0.0,0.0,0.07114624505928854,162.0,167.0,415.0,1.0,1.0,983.0,False,False
GNAI1,23,20.118000000000002,0.0004576370254699241,False,0.0,0.0,0.0,162.0,177.0,53.0,1.0,1.0,2273.0,False,False
NAT10,23,20.497,0.0002250469161483564,False,0.0,0.0,0.05533596837944664,162.0,169.0,494.0,1.0,1.0,1266.0,False,False
HDAC2,23,20.38,0.00037172649045704776,True,0.0,0.0,0.007905138339920948,162.0,170.0,93.0,1.0,1.0,2228.0,False,False
SNRPD2,23,21.578,0.0003396314469087629,False,0.0,0.0,0.007905138339920948,162.0,151.0,125.0,1.0,1.0,2228.0,False,False
SNW1,23,19.386,0.00031244079823473876,False,0.0,0.0,0.02766798418972332,162.0,195.0,165.0,1.0,1.0,1894.0,False,False
ERCC2,23,21.412,0.0003223361509441983,True,0.0,0.0,0.06719367588932806,162.0,156.0,151.0,1.0,1.0,986.0,False,False
MRPL27,23,21.57,0.00021274238976692368,False,0.0,0.0,0.05928853754940711,162.0,152.0,591.0,1.0,1.0,1190.0,False,False
CD74,23,21.104,0.00021808647087665837,True,0.0,0.0,0.04743083003952569,162.0,159.0,545.0,1.0,1.0,1447.0,False,False
CREBBP,23,19.749,0.00032802951323156144,True,0.0,0.0,0.007905138339920948,162.0,189.0,145.0,1.0,1.0,2228.0,False,False
CALML4,23,19.907,0.00047618077779466996,False,0.0,0.0,0.003952569169960474,162.0,182.0,43.0,1.0,1.0,2261.0,False,False
PLK1,23,19.229,0.00037123215893629255,False,0.0,0.0,0.003952569169960474,162.0,198.0,94.0,1.0,1.0,2261.0,False,False
MRPL32,23,21.006,0.00021233144001170845,False,0.0,0.0,0.05928853754940711,162.0,161.0,596.0,1.0,1.0,1190.0,False,False
PES1,23,20.792,0.00021517159020797364,False,0.0,0.0,0.05928853754940711,162.0,163.0,569.0,1.0,1.0,1190.0,False,False
DAP3,23,21.36,0.00022810532993961728,False,0.0,0.0,0.05928853754940711,162.0,157.0,476.0,1.0,1.0,1190.0,False,False
EXO1,23,19.207,0.0003393720706834969,False,0.0,0.0,0.019762845849802372,162.0,200.0,127.0,1.0,1.0,2022.0,False,False
CCDC105,23,20.188,0.00018986789084768618,False,0.0,0.0,0.09486166007905138,162.0,175.0,830.0,1.0,1.0,843.0,False,False
ARRB2,23,20.101,0.00044638182188492246,False,0.0,0.0,0.015810276679841896,162.0,178.0,55.0,1.0,1.0,2091.0,False,False
H3C15,22,19.477999999999998,0.00027740949411972924,True,0.0,0.0,0.047619047619047616,180.0,191.0,252.0,1.0,1.0,1331.0,False,False
MRPL20,22,20.332,0.00020492047575374584,False,0.0,0.0,0.05194805194805195,180.0,171.0,656.0,1.0,1.0,1307.0,False,False
